"Category","Name","ID","Verbose ID","pValue",S100A2,TNFRSF6B,CDC42EP5,SLC34A2,SAA1,SAA2,PI3,MUC5B,LCN2,RARRES1,IGFBP5,BPIFA1,S100A16,KRT18,CXCL6,ABCA13,MUC5AC,AQP5,SERPINB3,PDZK1IP1,SERPINB4,CXCL17,CFB,AGR2,SFN,S100A14,ZG16B,MSMB,ASS1,SLPI
"GO: Molecular Function","endopeptidase inhibitor activity","GO:0004866","go-molecular-function_GO:0004866_endopeptidase_inhibitor_activity",6.241607572821722E-6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"GO: Molecular Function","peptidase inhibitor activity","GO:0030414","go-molecular-function_GO:0030414_peptidase_inhibitor_activity",8.15483239698192E-6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"GO: Molecular Function","endopeptidase regulator activity","GO:0061135","go-molecular-function_GO:0061135_endopeptidase_regulator_activity",9.747128263403777E-6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"GO: Molecular Function","serine-type endopeptidase inhibitor activity","GO:0004867","go-molecular-function_GO:0004867_serine-type_endopeptidase_inhibitor_activity",1.800168959993959E-5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"GO: Molecular Function","peptidase regulator activity","GO:0061134","go-molecular-function_GO:0061134_peptidase_regulator_activity",3.3682392514567785E-5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"GO: Molecular Function","enzyme inhibitor activity","GO:0004857","go-molecular-function_GO:0004857_enzyme_inhibitor_activity",4.0995962773008544E-5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
"GO: Molecular Function","G protein-coupled receptor binding","GO:0001664","go-molecular-function_GO:0001664_G_protein-coupled_receptor_binding",1.513566263099293E-4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"GO: Molecular Function","chemokine receptor binding","GO:0042379","go-molecular-function_GO:0042379_chemokine_receptor_binding",2.522084616781792E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"GO: Molecular Function","argininosuccinate synthase activity","GO:0004055","go-molecular-function_GO:0004055_argininosuccinate_synthase_activity",0.001506629168344945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GO: Molecular Function","cysteine-type endopeptidase inhibitor activity","GO:0004869","go-molecular-function_GO:0004869_cysteine-type_endopeptidase_inhibitor_activity",0.002179508271600907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"GO: Molecular Function","protease binding","GO:0002020","go-molecular-function_GO:0002020_protease_binding",0.0025037215968915184,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"GO: Molecular Function","chemokine activity","GO:0008009","go-molecular-function_GO:0008009_chemokine_activity",0.002776685344742478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"GO: Molecular Function","high-affinity phosphate:sodium symporter activity","GO:0005316","go-molecular-function_GO:0005316_high-affinity_phosphate:sodium_symporter_activity",0.003011063959467844,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Molecular Function","iron ion sequestering activity","GO:0140315","go-molecular-function_GO:0140315_iron_ion_sequestering_activity",0.003011063959467844,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Molecular Function","enterobactin binding","GO:1903981","go-molecular-function_GO:1903981_enterobactin_binding",0.003011063959467844,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Molecular Function","heparin binding","GO:0008201","go-molecular-function_GO:0008201_heparin_binding",0.0031805851784895258,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Molecular Function","protein kinase C inhibitor activity","GO:0008426","go-molecular-function_GO:0008426_protein_kinase_C_inhibitor_activity",0.006013362749543811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"GO: Biological Process","defense response to bacterium","GO:0042742","go-biological-process_GO:0042742_defense_response_to_bacterium",9.758070291093334E-9,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"GO: Biological Process","defense response to other organism","GO:0098542","go-biological-process_GO:0098542_defense_response_to_other_organism",3.5529977802029806E-8,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1
"GO: Biological Process","response to bacterium","GO:0009617","go-biological-process_GO:0009617_response_to_bacterium",1.166092687640171E-7,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
"GO: Biological Process","response to other organism","GO:0051707","go-biological-process_GO:0051707_response_to_other_organism",1.178213598684461E-6,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1
"GO: Biological Process","response to external biotic stimulus","GO:0043207","go-biological-process_GO:0043207_response_to_external_biotic_stimulus",1.2060913235053476E-6,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1
"GO: Biological Process","response to biotic stimulus","GO:0009607","go-biological-process_GO:0009607_response_to_biotic_stimulus",1.5454715522292662E-6,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1
"GO: Biological Process","neutrophil-mediated killing of bacterium","GO:0070944","go-biological-process_GO:0070944_neutrophil-mediated_killing_of_bacterium",3.6159763270770135E-6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","granulocyte chemotaxis","GO:0071621","go-biological-process_GO:0071621_granulocyte_chemotaxis",5.095209659297325E-6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"GO: Biological Process","neutrophil-mediated killing of symbiont cell","GO:0070943","go-biological-process_GO:0070943_neutrophil-mediated_killing_of_symbiont_cell",5.4866414436655026E-6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","cell killing","GO:0001906","go-biological-process_GO:0001906_cell_killing",6.605634189487522E-6,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
