Category,Name,ID,Verbose ID,pValue,RAD51,ESCO2,PKMYT1,H1-5,TYMS,SPC24,EXO1,H3C7,UHRF1,E2F1,CDT1,MND1,MCM10,CLSPN,H3C3,KIF15,RRM2,DSCC1,H3C8,H3C2,PCLAF,ASF1B,CDCA5,H2AC12,E2F8,RAD54L,DTL,FAM111B,SPC25,CDC45
GO: Molecular Function,structural constituent of chromatin,GO:0030527,go-molecular-function_GO:0030527_structural_constituent_of_chromatin,7.30185990523746E-09,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
GO: Molecular Function,chromatin binding,GO:0003682,go-molecular-function_GO:0003682_chromatin_binding,9.61746586804217E-06,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
GO: Molecular Function,single-stranded DNA binding,GO:0003697,go-molecular-function_GO:0003697_single-stranded_DNA_binding,4.64065873266459E-05,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
GO: Molecular Function,protein heterodimerization activity,GO:0046982,go-molecular-function_GO:0046982_protein_heterodimerization_activity,2.89877775645174E-04,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
GO: Molecular Function,protein dimerization activity,GO:0046983,go-molecular-function_GO:0046983_protein_dimerization_activity,3.04558419097634E-04,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
GO: Molecular Function,DNA replication origin binding,GO:0003688,go-molecular-function_GO:0003688_DNA_replication_origin_binding,3.28902847260633E-04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GO: Molecular Function,DNA polymerase binding,GO:0070182,go-molecular-function_GO:0070182_DNA_polymerase_binding,5.41338023196313E-04,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO: Molecular Function,single-stranded DNA helicase activity,GO:0017116,go-molecular-function_GO:0017116_single-stranded_DNA_helicase_activity,5.41338023196313E-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GO: Molecular Function,DNA damage sensor activity,GO:0140612,go-molecular-function_GO:0140612_DNA_damage_sensor_activity,5.89999377164636E-04,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO: Molecular Function,"catalytic activity, acting on DNA",GO:0140097,"go-molecular-function_GO:0140097_catalytic_activity,_acting_on_DNA",6.06851308258682E-04,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
GO: Molecular Function,"ATP-dependent activity, acting on DNA",GO:0008094,"go-molecular-function_GO:0008094_ATP-dependent_activity,_acting_on_DNA",8.99744709574167E-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
GO: Molecular Function,histone H3 ubiquitin ligase activity,GO:0141055,go-molecular-function_GO:0141055_histone_H3_ubiquitin_ligase_activity,0.001502403846163680,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
